Pavarde        Vardas         ND1   ND2   ND3   ND4   ND5   Egzaminas 
Pavarde536     Vardas536      2     2     1     10    7     10        
Pavarde537     Vardas537      9     6     7     4     4     6         
Pavarde538     Vardas538      4     8     5     9     8     10        
Pavarde539     Vardas539      9     4     10    8     4     3         
Pavarde540     Vardas540      3     10    5     6     9     4         
Pavarde541     Vardas541      8     5     5     6     2     7         
Pavarde542     Vardas542      10    6     10    1     4     2         
Pavarde543     Vardas543      2     10    5     1     7     4         
Pavarde544     Vardas544      9     7     1     3     1     8         
Pavarde545     Vardas545      10    10    9     10    8     2         
Pavarde546     Vardas546      2     4     8     6     1     9         
Pavarde547     Vardas547      10    1     4     1     6     10        
Pavarde548     Vardas548      2     7     10    7     6     7         
Pavarde549     Vardas549      10    6     2     9     10    10        
Pavarde550     Vardas550      8     2     10    9     3     6         
Pavarde551     Vardas551      5     8     10    4     3     2         
Pavarde552     Vardas552      5     10    1     1     10    4         
Pavarde553     Vardas553      5     6     6     8     4     8         
Pavarde554     Vardas554      7     10    7     8     8     4         
Pavarde555     Vardas555      9     6     8     9     3     9         
Pavarde556     Vardas556      6     1     9     6     1     9         
Pavarde557     Vardas557      3     5     1     1     6     1         
Pavarde558     Vardas558      7     1     3     4     4     4         
Pavarde559     Vardas559      9     1     6     2     3     7         
Pavarde560     Vardas560      2     5     9     2     6     9         
Pavarde561     Vardas561      7     10    7     8     7     7         
Pavarde562     Vardas562      3     5     9     1     9     9         
Pavarde563     Vardas563      4     2     7     8     7     5         
Pavarde564     Vardas564      1     4     9     5     2     7         
Pavarde565     Vardas565      10    5     4     2     7     3         
Pavarde566     Vardas566      1     1     5     5     9     6         
Pavarde567     Vardas567      3     3     2     7     3     1         
Pavarde568     Vardas568      1     8     2     9     9     10        
Pavarde569     Vardas569      5     9     6     3     8     3         
Pavarde570     Vardas570      8     2     5     5     4     1         
Pavarde571     Vardas571      1     3     2     3     4     5         
Pavarde572     Vardas572      10    9     2     4     10    1         
Pavarde573     Vardas573      8     1     1     5     2     6         
Pavarde574     Vardas574      6     3     6     4     7     3         
Pavarde575     Vardas575      3     10    2     5     8     3         
Pavarde576     Vardas576      2     2     7     9     7     6         
Pavarde577     Vardas577      8     2     1     5     8     3         
Pavarde578     Vardas578      1     3     8     4     7     1         
Pavarde579     Vardas579      9     3     8     4     2     10        
Pavarde580     Vardas580      9     3     6     6     10    7         
Pavarde581     Vardas581      4     9     9     10    3     9         
Pavarde582     Vardas582      7     10    6     8     1     10        
Pavarde583     Vardas583      6     2     4     1     4     9         
Pavarde584     Vardas584      6     10    10    2     3     1         
Pavarde585     Vardas585      7     8     6     7     9     10        
Pavarde586     Vardas586      9     3     5     6     7     4         
Pavarde587     Vardas587      5     3     10    5     1     9         
Pavarde588     Vardas588      2     7     5     7     5     5         
Pavarde589     Vardas589      2     2     7     2     10    6         
Pavarde590     Vardas590      9     3     4     10    9     4         
Pavarde591     Vardas591      5     9     7     8     9     3         
Pavarde592     Vardas592      5     2     10    6     7     4         
Pavarde593     Vardas593      3     10    1     1     8     7         
Pavarde594     Vardas594      9     9     2     5     9     9         
Pavarde595     Vardas595      3     5     6     1     1     7         
Pavarde596     Vardas596      5     5     7     1     1     5         
Pavarde597     Vardas597      5     6     4     4     4     1         
Pavarde598     Vardas598      5     4     10    8     10    8         
Pavarde599     Vardas599      7     6     5     1     8     9         
Pavarde600     Vardas600      9     6     9     2     7     10        
Pavarde601     Vardas601      5     9     10    9     7     2         
Pavarde602     Vardas602      5     10    4     8     5     6         
Pavarde603     Vardas603      2     1     9     3     8     6         
Pavarde604     Vardas604      5     1     7     1     8     4         
Pavarde605     Vardas605      7     8     6     4     9     9         
Pavarde606     Vardas606      6     8     6     9     7     1         
Pavarde607     Vardas607      8     2     10    9     1     3         
Pavarde608     Vardas608      7     8     8     2     5     5         
Pavarde609     Vardas609      7     6     7     8     2     10        
Pavarde610     Vardas610      10    5     8     9     4     8         
Pavarde611     Vardas611      7     10    4     2     9     7         
Pavarde612     Vardas612      3     9     7     9     5     8         
Pavarde613     Vardas613      8     5     9     6     6     1         
Pavarde614     Vardas614      9     1     3     1     3     7         
Pavarde615     Vardas615      6     9     5     7     3     9         
Pavarde616     Vardas616      5     8     3     9     7     1         
Pavarde617     Vardas617      5     5     10    10    10    10        
Pavarde618     Vardas618      9     8     7     10    9     6         
Pavarde619     Vardas619      10    10    8     7     4     1         
Pavarde620     Vardas620      6     10    10    1     3     2         
Pavarde621     Vardas621      1     1     3     3     2     8         
Pavarde622     Vardas622      3     3     3     3     1     3         
Pavarde623     Vardas623      3     10    4     1     7     4         
Pavarde624     Vardas624      7     3     2     9     1     9         
Pavarde625     Vardas625      10    9     4     3     5     10        
Pavarde626     Vardas626      10    8     6     3     9     2         
Pavarde627     Vardas627      9     10    10    10    6     5         
Pavarde628     Vardas628      6     2     2     10    8     7         
Pavarde629     Vardas629      2     9     7     5     9     5         
Pavarde630     Vardas630      3     3     2     8     7     2         
Pavarde631     Vardas631      6     1     10    8     5     10        
Pavarde632     Vardas632      8     5     6     8     8     9         
Pavarde633     Vardas633      7     2     5     3     3     7         
Pavarde634     Vardas634      2     6     2     7     4     1         
Pavarde635     Vardas635      2     4     5     5     3     6         
Pavarde636     Vardas636      4     10    7     7     3     1         
Pavarde637     Vardas637      1     10    1     6     5     8         
Pavarde638     Vardas638      6     6     10    8     5     8         
Pavarde639     Vardas639      3     3     7     4     4     6         
Pavarde640     Vardas640      8     9     7     3     8     9         
Pavarde641     Vardas641      9     2     10    3     1     1         
Pavarde642     Vardas642      7     6     5     1     2     3         
Pavarde643     Vardas643      3     5     2     5     6     8         
Pavarde644     Vardas644      9     8     6     8     1     1         
Pavarde645     Vardas645      3     5     2     3     10    8         
Pavarde646     Vardas646      3     9     3     5     7     7         
Pavarde647     Vardas647      6     1     4     4     1     8         
Pavarde648     Vardas648      3     9     7     4     10    5         
Pavarde649     Vardas649      6     6     7     6     8     6         
Pavarde650     Vardas650      10    9     3     10    3     6         
Pavarde651     Vardas651      1     8     4     9     3     9         
Pavarde652     Vardas652      10    7     2     7     3     10        
Pavarde653     Vardas653      4     10    7     7     9     7         
Pavarde654     Vardas654      1     1     4     5     3     3         
Pavarde655     Vardas655      2     4     8     9     2     6         
Pavarde656     Vardas656      6     10    6     2     2     7         
Pavarde657     Vardas657      10    5     10    3     10    6         
Pavarde658     Vardas658      3     10    3     1     9     10        
Pavarde659     Vardas659      4     1     4     3     10    2         
Pavarde660     Vardas660      3     3     7     5     8     1         
Pavarde661     Vardas661      5     3     6     9     6     3         
Pavarde662     Vardas662      2     9     7     7     2     2         
Pavarde663     Vardas663      1     3     8     10    8     8         
Pavarde664     Vardas664      4     4     6     2     4     6         
Pavarde665     Vardas665      10    3     6     6     7     2         
Pavarde666     Vardas666      3     10    5     6     3     10        
Pavarde667     Vardas667      1     4     4     6     8     1         
Pavarde668     Vardas668      6     7     8     2     3     6         
Pavarde669     Vardas669      2     8     8     2     6     3         
Pavarde670     Vardas670      6     7     7     1     2     2         
Pavarde671     Vardas671      9     4     9     7     6     9         
Pavarde672     Vardas672      4     3     10    4     9     9         
Pavarde673     Vardas673      5     2     7     8     9     4         
Pavarde674     Vardas674      10    6     1     1     2     4         
Pavarde675     Vardas675      9     9     4     8     4     6         
Pavarde676     Vardas676      6     6     5     3     2     8         
Pavarde677     Vardas677      3     5     2     3     5     9         
Pavarde678     Vardas678      9     9     6     2     7     8         
Pavarde679     Vardas679      1     5     1     1     10    8         
Pavarde680     Vardas680      10    5     6     1     10    6         
Pavarde681     Vardas681      7     7     6     3     6     6         
Pavarde682     Vardas682      4     10    4     4     1     6         
Pavarde683     Vardas683      4     2     6     1     6     7         
Pavarde684     Vardas684      1     8     2     4     6     3         
Pavarde685     Vardas685      4     10    8     6     4     10        
Pavarde686     Vardas686      3     4     6     10    8     7         
Pavarde687     Vardas687      9     3     9     9     1     6         
Pavarde688     Vardas688      9     5     10    9     9     4         
Pavarde689     Vardas689      5     10    6     7     8     4         
Pavarde690     Vardas690      4     1     8     5     2     8         
Pavarde691     Vardas691      1     3     2     9     6     9         
Pavarde692     Vardas692      2     8     4     8     3     5         
Pavarde693     Vardas693      1     9     8     5     1     5         
Pavarde694     Vardas694      8     2     8     3     3     8         
Pavarde695     Vardas695      1     8     10    1     4     1         
Pavarde696     Vardas696      2     4     8     2     6     5         
Pavarde697     Vardas697      5     5     10    4     1     1         
Pavarde698     Vardas698      4     4     5     9     8     4         
Pavarde699     Vardas699      3     9     4     5     9     4         
Pavarde700     Vardas700      10    5     2     2     5     8         
Pavarde701     Vardas701      2     8     7     4     3     8         
Pavarde702     Vardas702      1     2     7     4     3     2         
Pavarde703     Vardas703      1     8     5     10    5     10        
Pavarde704     Vardas704      9     4     5     7     5     6         
Pavarde705     Vardas705      1     3     9     2     10    6         
Pavarde706     Vardas706      4     10    10    10    7     6         
Pavarde707     Vardas707      3     1     6     3     4     10        
Pavarde708     Vardas708      8     9     4     6     3     8         
Pavarde709     Vardas709      6     7     3     5     7     8         
Pavarde710     Vardas710      1     6     1     4     5     2         
Pavarde711     Vardas711      7     5     2     5     3     7         
Pavarde712     Vardas712      10    9     5     3     7     9         
Pavarde713     Vardas713      2     4     3     6     3     1         
Pavarde714     Vardas714      4     5     2     10    5     10        
Pavarde715     Vardas715      8     8     1     7     5     5         
Pavarde716     Vardas716      1     9     4     1     9     7         
Pavarde717     Vardas717      2     6     9     5     1     8         
Pavarde718     Vardas718      7     8     9     4     8     4         
Pavarde719     Vardas719      7     10    5     7     8     8         
Pavarde720     Vardas720      8     10    6     3     4     10        
Pavarde721     Vardas721      4     8     7     8     2     4         
Pavarde722     Vardas722      2     2     5     3     8     3         
Pavarde723     Vardas723      9     5     3     2     1     8         
Pavarde724     Vardas724      6     6     9     2     6     7         
Pavarde725     Vardas725      10    4     7     6     5     4         
Pavarde726     Vardas726      4     5     1     7     3     7         
Pavarde727     Vardas727      1     1     1     4     3     3         
Pavarde728     Vardas728      8     7     6     10    10    8         
Pavarde729     Vardas729      7     1     10    6     9     3         
Pavarde730     Vardas730      8     4     4     7     8     4         
Pavarde731     Vardas731      3     1     3     4     5     8         
Pavarde732     Vardas732      5     4     4     1     8     10        
Pavarde733     Vardas733      5     7     6     9     9     1         
Pavarde734     Vardas734      2     6     8     2     8     6         
Pavarde735     Vardas735      3     1     8     1     10    7         
Pavarde736     Vardas736      1     2     3     9     1     10        
Pavarde737     Vardas737      6     9     6     8     4     4         
Pavarde738     Vardas738      10    2     5     7     3     3         
Pavarde739     Vardas739      2     6     6     10    2     7         
Pavarde740     Vardas740      3     2     6     1     10    7         
Pavarde741     Vardas741      6     1     7     6     1     8         
Pavarde742     Vardas742      9     1     6     10    1     1         
Pavarde743     Vardas743      6     10    8     10    8     7         
Pavarde744     Vardas744      9     8     2     9     6     4         
Pavarde745     Vardas745      5     3     5     8     1     10        
Pavarde746     Vardas746      10    6     6     6     9     8         
Pavarde747     Vardas747      2     2     1     10    5     7         
Pavarde748     Vardas748      1     8     9     6     4     5         
Pavarde749     Vardas749      7     6     9     6     9     6         
Pavarde750     Vardas750      9     4     10    8     10    10        
Pavarde751     Vardas751      9     4     6     6     7     1         
Pavarde752     Vardas752      9     9     8     4     9     2         
Pavarde753     Vardas753      8     9     3     6     4     2         
Pavarde754     Vardas754      7     7     7     10    8     6         
Pavarde755     Vardas755      1     1     10    8     6     10        
Pavarde756     Vardas756      5     10    4     3     6     2         
Pavarde757     Vardas757      4     3     4     1     9     5         
Pavarde758     Vardas758      3     6     6     6     8     2         
Pavarde759     Vardas759      1     10    6     4     10    4         
Pavarde760     Vardas760      1     5     6     6     6     3         
Pavarde761     Vardas761      2     7     9     3     1     2         
Pavarde762     Vardas762      4     8     7     10    8     9         
Pavarde763     Vardas763      6     5     10    2     5     8         
Pavarde764     Vardas764      7     9     8     10    5     1         
Pavarde765     Vardas765      2     10    4     5     9     4         
Pavarde766     Vardas766      7     6     10    9     4     9         
Pavarde767     Vardas767      7     9     10    9     8     3         
Pavarde768     Vardas768      9     1     8     6     5     9         
Pavarde769     Vardas769      5     5     7     9     3     2         
Pavarde770     Vardas770      5     6     2     7     2     9         
Pavarde771     Vardas771      2     2     7     5     2     1         
Pavarde772     Vardas772      1     1     5     5     9     3         
Pavarde773     Vardas773      9     5     3     6     1     3         
Pavarde774     Vardas774      2     1     10    6     7     8         
Pavarde775     Vardas775      7     2     9     10    7     6         
Pavarde776     Vardas776      4     8     7     2     7     2         
Pavarde777     Vardas777      2     9     8     3     5     7         
Pavarde778     Vardas778      1     9     2     10    1     4         
Pavarde779     Vardas779      6     3     3     9     3     5         
Pavarde780     Vardas780      7     4     8     4     3     2         
Pavarde781     Vardas781      1     4     7     9     10    5         
Pavarde782     Vardas782      3     10    2     4     9     6         
Pavarde783     Vardas783      9     9     7     7     9     5         
Pavarde784     Vardas784      2     9     4     2     2     8         
Pavarde785     Vardas785      10    8     3     6     6     10        
Pavarde786     Vardas786      9     6     7     1     1     1         
Pavarde787     Vardas787      5     9     3     10    2     9         
Pavarde788     Vardas788      6     8     6     1     10    10        
Pavarde789     Vardas789      5     4     2     1     10    7         
Pavarde790     Vardas790      2     2     4     1     5     6         
Pavarde791     Vardas791      1     10    5     2     5     10        
Pavarde792     Vardas792      9     5     4     4     4     8         
Pavarde793     Vardas793      5     10    5     8     9     1         
Pavarde794     Vardas794      4     2     6     1     9     7         
Pavarde795     Vardas795      2     6     6     5     2     2         
Pavarde796     Vardas796      9     9     3     9     8     5         
Pavarde797     Vardas797      10    2     9     4     8     5         
Pavarde798     Vardas798      6     9     2     1     8     1         
Pavarde799     Vardas799      4     3     7     8     9     6         
Pavarde800     Vardas800      2     1     7     7     9     1         
Pavarde801     Vardas801      2     10    4     8     2     10        
Pavarde802     Vardas802      9     1     8     7     1     2         
Pavarde803     Vardas803      2     3     9     9     2     5         
Pavarde804     Vardas804      5     2     1     3     5     7         
Pavarde805     Vardas805      5     3     5     9     5     8         
Pavarde806     Vardas806      6     6     10    1     1     10        
Pavarde807     Vardas807      8     2     8     7     1     2         
Pavarde808     Vardas808      9     4     7     6     7     1         
Pavarde809     Vardas809      3     9     1     1     5     4         
Pavarde810     Vardas810      6     6     9     8     6     3         
Pavarde811     Vardas811      3     2     3     10    4     1         
Pavarde812     Vardas812      7     3     2     10    4     7         
Pavarde813     Vardas813      9     6     4     7     4     4         
Pavarde814     Vardas814      5     7     1     5     8     7         
Pavarde815     Vardas815      1     1     5     7     5     5         
Pavarde816     Vardas816      10    5     9     8     1     10        
Pavarde817     Vardas817      3     8     7     8     9     10        
Pavarde818     Vardas818      3     5     6     3     8     9         
Pavarde819     Vardas819      9     8     4     6     5     6         
Pavarde820     Vardas820      3     1     8     4     8     5         
Pavarde821     Vardas821      1     2     1     9     1     8         
Pavarde822     Vardas822      3     5     3     9     5     9         
Pavarde823     Vardas823      9     2     10    9     8     7         
Pavarde824     Vardas824      8     5     7     10    1     1         
Pavarde825     Vardas825      8     7     5     8     3     4         
Pavarde826     Vardas826      5     10    9     8     4     10        
Pavarde827     Vardas827      7     6     4     2     5     6         
Pavarde828     Vardas828      4     2     9     7     5     10        
Pavarde829     Vardas829      4     3     2     1     6     9         
Pavarde830     Vardas830      1     6     1     2     1     7         
Pavarde831     Vardas831      6     8     9     1     8     6         
Pavarde832     Vardas832      2     10    1     9     2     2         
Pavarde833     Vardas833      4     4     8     5     1     10        
Pavarde834     Vardas834      3     7     8     4     4     9         
Pavarde835     Vardas835      10    5     6     5     10    9         
Pavarde836     Vardas836      3     9     9     10    10    8         
Pavarde837     Vardas837      8     4     1     3     9     7         
Pavarde838     Vardas838      2     9     3     2     8     10        
Pavarde839     Vardas839      3     4     9     2     3     10        
Pavarde840     Vardas840      7     5     10    3     8     10        
Pavarde841     Vardas841      9     2     6     10    1     1         
Pavarde842     Vardas842      7     6     3     6     6     7         
Pavarde843     Vardas843      5     10    1     8     1     9         
Pavarde844     Vardas844      6     10    2     9     5     6         
Pavarde845     Vardas845      2     6     3     6     4     1         
Pavarde846     Vardas846      1     9     2     10    10    3         
Pavarde847     Vardas847      4     10    10    7     1     4         
Pavarde848     Vardas848      7     9     9     3     10    10        
Pavarde849     Vardas849      3     7     6     9     8     2         
Pavarde850     Vardas850      6     6     3     10    3     9         
Pavarde851     Vardas851      2     3     1     8     9     8         
Pavarde852     Vardas852      5     4     6     4     6     4         
Pavarde853     Vardas853      2     10    4     9     3     3         
Pavarde854     Vardas854      1     1     1     1     6     3         
Pavarde855     Vardas855      3     8     9     6     3     7         
Pavarde856     Vardas856      7     6     6     8     8     5         
Pavarde857     Vardas857      3     10    3     2     8     10        
Pavarde858     Vardas858      5     4     7     9     2     2         
Pavarde859     Vardas859      3     4     7     1     9     1         
Pavarde860     Vardas860      8     6     4     8     2     3         
Pavarde861     Vardas861      7     2     1     8     5     7         
Pavarde862     Vardas862      6     9     8     10    6     8         
Pavarde863     Vardas863      8     4     6     6     6     1         
Pavarde864     Vardas864      10    4     2     10    6     5         
Pavarde865     Vardas865      5     8     2     4     10    10        
Pavarde866     Vardas866      2     8     2     1     4     8         
Pavarde867     Vardas867      4     5     8     1     3     6         
Pavarde868     Vardas868      2     6     10    5     3     5         
Pavarde869     Vardas869      4     4     5     5     6     10        
Pavarde870     Vardas870      5     5     8     5     4     4         
Pavarde871     Vardas871      2     6     5     2     3     8         
Pavarde872     Vardas872      4     10    3     4     3     6         
Pavarde873     Vardas873      10    2     4     4     4     9         
Pavarde874     Vardas874      6     8     5     1     5     8         
Pavarde875     Vardas875      5     1     10    5     6     4         
Pavarde876     Vardas876      6     2     8     6     1     6         
Pavarde877     Vardas877      9     7     8     7     6     5         
Pavarde878     Vardas878      6     8     2     8     10    10        
Pavarde879     Vardas879      4     2     7     5     10    8         
Pavarde880     Vardas880      5     1     10    8     8     8         
Pavarde881     Vardas881      4     6     1     3     9     6         
Pavarde882     Vardas882      7     7     2     6     8     1         
Pavarde883     Vardas883      6     9     1     9     9     2         
Pavarde884     Vardas884      6     10    3     6     9     3         
Pavarde885     Vardas885      3     4     7     2     6     7         
Pavarde886     Vardas886      1     9     2     5     5     3         
Pavarde887     Vardas887      2     10    6     3     9     2         
Pavarde888     Vardas888      9     10    7     10    3     10        
Pavarde889     Vardas889      6     8     8     10    3     2         
Pavarde890     Vardas890      8     1     1     7     9     5         
Pavarde891     Vardas891      10    6     8     1     10    10        
Pavarde892     Vardas892      2     1     3     9     7     2         
Pavarde893     Vardas893      2     8     3     9     7     5         
Pavarde894     Vardas894      6     10    9     9     1     9         
Pavarde895     Vardas895      3     2     2     8     10    6         
Pavarde896     Vardas896      3     1     5     8     8     4         
Pavarde897     Vardas897      1     7     4     5     1     7         
Pavarde898     Vardas898      3     5     5     7     3     8         
Pavarde899     Vardas899      10    3     10    8     6     1         
Pavarde900     Vardas900      8     1     8     2     1     6         
Pavarde901     Vardas901      7     3     1     4     8     5         
Pavarde902     Vardas902      9     7     5     5     4     1         
Pavarde903     Vardas903      10    10    7     2     7     5         
Pavarde904     Vardas904      10    3     3     9     2     9         
Pavarde905     Vardas905      7     5     1     9     8     7         
Pavarde906     Vardas906      5     7     2     4     5     4         
Pavarde907     Vardas907      8     10    10    4     2     3         
Pavarde908     Vardas908      8     9     10    4     8     1         
Pavarde909     Vardas909      5     7     7     10    6     1         
Pavarde910     Vardas910      2     10    5     7     1     7         
Pavarde911     Vardas911      4     2     7     1     4     9         
Pavarde912     Vardas912      5     10    4     4     2     3         
Pavarde913     Vardas913      7     6     1     8     5     7         
Pavarde914     Vardas914      1     4     2     7     2     7         
Pavarde915     Vardas915      2     6     6     7     7     7         
Pavarde916     Vardas916      4     8     4     4     3     9         
Pavarde917     Vardas917      8     6     2     9     8     6         
Pavarde918     Vardas918      10    1     4     1     6     10        
Pavarde919     Vardas919      3     3     7     1     2     5         
Pavarde920     Vardas920      10    7     8     5     9     1         
Pavarde921     Vardas921      5     5     2     1     8     9         
Pavarde922     Vardas922      7     9     4     9     1     10        
Pavarde923     Vardas923      1     2     5     7     10    3         
Pavarde924     Vardas924      5     3     2     6     7     1         
Pavarde925     Vardas925      8     3     1     5     1     1         
Pavarde926     Vardas926      5     10    2     5     7     6         
Pavarde927     Vardas927      9     4     5     7     4     9         
Pavarde928     Vardas928      5     1     10    10    5     3         
Pavarde929     Vardas929      5     5     3     5     6     8         
Pavarde930     Vardas930      6     8     2     7     1     8         
Pavarde931     Vardas931      3     3     3     10    10    1         
Pavarde932     Vardas932      2     9     8     8     5     1         
Pavarde933     Vardas933      9     2     1     5     9     10        
Pavarde934     Vardas934      5     6     7     8     1     6         
Pavarde935     Vardas935      3     6     10    9     7     7         
Pavarde936     Vardas936      10    4     10    8     10    10        
Pavarde937     Vardas937      8     10    1     7     1     6         
Pavarde938     Vardas938      10    3     9     5     5     10        
Pavarde939     Vardas939      7     8     8     1     2     1         
Pavarde940     Vardas940      9     2     7     8     1     6         
Pavarde941     Vardas941      10    10    9     10    8     3         
Pavarde942     Vardas942      3     4     2     7     2     1         
Pavarde943     Vardas943      3     6     4     6     2     8         
Pavarde944     Vardas944      2     1     4     1     7     1         
Pavarde945     Vardas945      7     7     7     5     7     9         
Pavarde946     Vardas946      10    7     10    9     5     5         
Pavarde947     Vardas947      1     8     8     1     4     10        
Pavarde948     Vardas948      7     5     5     2     9     9         
Pavarde949     Vardas949      7     4     2     3     10    5         
Pavarde950     Vardas950      3     3     1     8     7     4         
Pavarde951     Vardas951      10    2     7     7     2     6         
Pavarde952     Vardas952      9     4     6     5     5     4         
Pavarde953     Vardas953      4     7     3     5     6     2         
Pavarde954     Vardas954      4     7     8     7     9     10        
Pavarde955     Vardas955      1     8     10    4     6     6         
Pavarde956     Vardas956      4     1     10    1     6     7         
Pavarde957     Vardas957      1     10    8     7     3     6         
Pavarde958     Vardas958      7     3     10    3     8     2         
Pavarde959     Vardas959      6     1     1     1     5     9         
Pavarde960     Vardas960      5     9     5     1     5     10        
Pavarde961     Vardas961      4     9     9     4     2     8         
Pavarde962     Vardas962      3     5     8     4     10    6         
Pavarde963     Vardas963      10    3     1     9     8     7         
Pavarde964     Vardas964      4     10    9     8     9     10        
Pavarde965     Vardas965      9     5     5     8     4     2         
Pavarde966     Vardas966      10    6     7     1     9     1         
Pavarde967     Vardas967      6     5     10    9     5     9         
Pavarde968     Vardas968      8     4     5     7     6     6         
Pavarde969     Vardas969      7     1     5     1     2     3         
Pavarde970     Vardas970      5     6     3     8     3     5         
Pavarde971     Vardas971      10    1     1     2     2     7         
Pavarde972     Vardas972      4     4     3     7     5     7         
Pavarde973     Vardas973      6     10    5     7     3     3         
Pavarde974     Vardas974      3     3     4     8     2     3         
Pavarde975     Vardas975      4     1     2     2     10    10        
Pavarde976     Vardas976      8     9     5     8     6     6         
Pavarde977     Vardas977      1     1     6     9     1     4         
Pavarde978     Vardas978      3     6     5     3     3     7         
Pavarde979     Vardas979      7     8     10    9     8     1         
Pavarde980     Vardas980      3     5     9     1     4     9         
Pavarde981     Vardas981      3     10    7     8     9     2         
Pavarde982     Vardas982      7     1     5     9     6     8         
Pavarde983     Vardas983      5     9     7     6     2     1         
Pavarde984     Vardas984      2     6     5     3     6     2         
Pavarde985     Vardas985      9     8     8     4     7     9         
Pavarde986     Vardas986      5     1     6     3     9     9         
Pavarde987     Vardas987      6     5     10    7     10    1         
Pavarde988     Vardas988      3     1     6     5     3     1         
Pavarde989     Vardas989      7     2     9     2     7     6         
Pavarde990     Vardas990      8     9     6     8     4     8         
Pavarde991     Vardas991      3     7     1     4     5     9         
Pavarde992     Vardas992      2     5     10    1     1     2         
Pavarde993     Vardas993      8     1     10    1     9     3         
Pavarde994     Vardas994      10    10    3     3     4     5         
Pavarde995     Vardas995      4     3     4     3     1     2         
Pavarde996     Vardas996      3     9     3     6     4     1         
Pavarde997     Vardas997      4     8     6     3     8     7         
Pavarde998     Vardas998      10    8     7     5     2     5         
Pavarde999     Vardas999      3     9     5     10    9     3         
